URL,CCPA,gpc_json,usp_string_off,usp_off_version,usp_string_on,usp_on_version,Optanon_w/GPC=off,Optanon_w/GPC=on,packet_gpc_off,packets_gpc_on,percentage_change
wordpress.com,TRUE,json_err,1---,1,1YYN,1,,,1925,1230,-36.1038961
criteo.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
gravatar.com,TRUE,json_err,0,0,0,0,,,,,
amazontrust.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
casalemedia.com,TRUE,json_err,0,0,0,0,,,,,
pubmatic.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
cnn.com,TRUE,NOT_FOUND,1---,1,1---,1,0,0,,,
taboola.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
zemanta.com,TRUE,NOT_FOUND,0,0,0,0,0,1,216,797,268.9814815
openx.net,TRUE,json_err,0,0,0,0,,,,,
samsung.com,TRUE,NOT_FOUND,0,0,0,0,0,1,768,321,-58.203125
forbes.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
go.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,257,417,62.25680934
criteo.net,TRUE,json_err,0,0,0,0,,,,,
wp.com,TRUE,NOT_FOUND,1---,1,1YYN,1,,,1271,1288,1.337529504
nginx.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
sharethrough.com,TRUE,NOT_FOUND,1YNN,1,1YNN,1,,,,,
oracle.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
wsj.com,TRUE,json_err,1---,1,1---,1,,,,,
dell.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
weather.com,TRUE,TRUE,0,0,0,0,,,516,652,26.35658915
businessinsider.com,TRUE,NOT_FOUND,1YN-,1,1YY-,1,,,816,614,-24.75490196
cnbc.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,872,743,-14.79357798
usatoday.com,TRUE,NOT_FOUND,1---,1,1---,1,,,,,
time.com,TRUE,NOT_FOUND,0,0,0,0,0,1,1002,953,-4.890219561
adtelligent.com,TRUE,NOT_FOUND,0,0,0,0,0,1,746,880,17.96246649
surveymonkey.com,TRUE,NOT_FOUND,0,0,0,0,0,1,786,647,-17.68447837
wired.com,TRUE,NOT_FOUND,1---,1,1---,1,0,groups,,,
healthline.com,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
speedtest.net,TRUE,NOT_FOUND,1YNY,1,1YNY,1,,,,,
cnet.com,TRUE,NOT_FOUND,0,0,0,0,0,1,695,788,13.38129496
nvidia.com,TRUE,NOT_FOUND,0,0,0,0,0,1,854,888,3.981264637
inmobi.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
buzzfeed.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,788,752,-4.568527919
mysql.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
braze.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
cbsnews.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,708,644,-9.039548023
att.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
watchguard.com,TRUE,NOT_FOUND,0,0,0,0,0,1,243,166,-31.6872428
entrust.net,TRUE,NOT_FOUND,1-N-,1,1-Y-,1,,,907,1287,41.89636163
myspace.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
intel.com,TRUE,NOT_FOUND,0,0,0,0,0,1,755,1703,125.5629139
theverge.com,TRUE,json_err,1YNY,1,1YNY,1,,,,,
nike.com,TRUE,TRUE,0,0,0,0,,,589,718,21.90152801
nbcnews.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,0,1,594,863,45.28619529
box.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
name.com,TRUE,NOT_FOUND,0,0,0,0,0,1,133,32,-75.93984962
fandom.com,TRUE,NOT_FOUND,1YNN,1,1YYN,1,,,1059,723,-31.72804533
yieldmo.com,TRUE,NOT_FOUND,0,0,0,0,0,1,899,772,-14.12680756
life360.com,TRUE,NOT_FOUND,0,0,0,0,0,1,803,898,11.83063512
tapad.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
instructure.com,TRUE,json_err,0,0,0,0,0,1,664,687,3.463855422
nationalgeographic.com,TRUE,NOT_FOUND,1YNY,1,1YYY,1,0,1,782,747,-4.475703325
contextweb.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
sagepub.com,TRUE,json_err,0,0,0,0,,,,,
viber.com,TRUE,json_err,0,0,0,0,,,,,
33across.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
norton.com,TRUE,json_err,0,0,0,0,,,,,
redislabs.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
fast.com,TRUE,json_err,0,0,0,0,,,,,
nest.com,TRUE,json_err,0,0,0,0,,,,,
dashlane.com,TRUE,NOT_FOUND,0,0,0,0,,,,,
